Birth Rate,CO2 Emissions,Country,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Cluster Category
0.02,87931.0,Algeria,54790058957,0.035,60,0.034,0.0,0.1,71,67,0.0,0.342,0.619,0.039,31719449,0.599,102000000,193000000,Cluster 1
0.05,9542.0,Angola,9129594819,0.034,22,0.128,0.0,1.032,47,44,0.0,0.476,0.499,0.025,13924930,0.324,34000000,146000000,Cluster 1
0.027,4276.0,Botswana,5788311645,0.047,152,0.054,0.0,0.155,52,49,0.1,0.383,0.587,0.029,1755375,0.532,227000000,209000000,Cluster 1
0.042,301.0,Burundi,870486066,0.063,7,0.092,0.0,0.158,49,47,0.0,0.49,0.481,0.029,6674286,0.082,1400000,14000000,Cluster 1
0.041,3432.0,Cameroon,9287367569,0.044,26,0.093,0.0,0.22,53,51,0.0,0.453,0.513,0.034,15927713,0.455,132000000,241000000,Cluster 1
0.039,268.0,Central African Republic,914500332,0.043,11,0.113,0.0,0.22,45,42,0.0,0.423,0.537,0.04,3638316,0.376,5000000,33000000,Cluster 1
0.051,176.0,Chad,1385058212,0.063,10,0.106,0.0,0.22,48,46,0.0,0.49,0.482,0.028,8301151,0.216,14000000,56000000,Cluster 1
0.039,1049.0,"Congo, Rep.",3219910666,0.021,22,0.077,0.0,0.22,53,51,0.0,0.419,0.545,0.036,3126204,0.587,12400000,59000000,Cluster 1
0.025,141326.0,"Egypt, Arab Rep.",99838540997,0.054,79,0.036,0.0,0.132,71,66,0.0,0.354,0.592,0.053,66136590,0.428,4657000000,1206000000,Cluster 1
0.04,455.0,Equatorial Guinea,1045998534,0.024,57,0.099,0.0,0.22,49,46,0.0,0.426,0.537,0.037,518179,0.388,5000000,19000000,Cluster 1
0.044,5831.0,Ethiopia,8091384891,0.043,5,0.09,0.0,0.109,53,51,0.0,0.466,0.503,0.031,66024199,0.147,205000000,80000000,Cluster 1
0.034,1052.0,Gabon,5067865503,0.029,118,0.056,0.0,0.22,61,59,0.1,0.406,0.535,0.059,1225527,0.801,99000000,183000000,Cluster 1
0.042,1280.0,Guinea,2995360969,0.056,19,0.103,0.0,0.194,51,51,0.0,0.44,0.525,0.034,8746128,0.31,7800000,13000000,Cluster 1
0.039,10418.0,Kenya,12705350153,0.047,19,0.069,0.0,0.223,54,52,0.0,0.442,0.531,0.028,31285050,0.199,500000000,156000000,Cluster 1
0.022,47114.0,Libya,33896600871,0.034,252,0.024,0.0,0.07,74,70,0.0,0.333,0.628,0.039,5176185,0.763,84000000,495000000,Cluster 1
0.041,1874.0,Madagascar,3877673635,0.05,12,0.071,0.0,0.265,60,57,0.0,0.455,0.515,0.03,15744811,0.271,152000000,139000000,Cluster 1
0.045,906.0,Malawi,1743506287,0.061,9,0.103,0.0,0.531,46,46,0.0,0.458,0.511,0.031,11321496,0.146,29000000,53000000,Cluster 1
0.017,2769.0,Mauritius,4582562398,0.037,146,0.016,0.1,0.208,75,68,0.2,0.258,0.681,0.061,1186873,0.427,732000000,203000000,Cluster 2
